country,month,production_natural_gas,consumption_natural_gas,imports_natural_gas,production_electricity,consumption_electricity,imports_electricity
Bulgaria,2017-01,0.128,4.910,3.923,4.260,3.515,0.500
Bulgaria,2017-02,0.119,3.729,3.059,3.571,2.848,0.339
Bulgaria,2017-03,0.103,3.218,2.933,3.589,2.618,0.453
Bulgaria,2017-04,0.093,2.741,2.893,3.107,2.399,0.385
Bulgaria,2017-05,0.096,2.254,2.826,2.879,2.233,0.244
Bulgaria,2017-06,0.068,2.238,2.962,3.022,2.201,0.231
Bulgaria,2017-07,0.059,1.856,2.755,3.381,2.394,0.180
Bulgaria,2017-08,0.049,1.722,2.198,3.450,2.397,0.158
Bulgaria,2017-09,0.040,1.922,2.453,3.062,2.262,0.258
Bulgaria,2017-10,0.032,2.627,2.750,3.057,2.439,0.291
Bulgaria,2017-11,0.000,3.276,3.333,3.623,2.683,0.251
Bulgaria,2017-12,0.000,3.736,3.167,3.722,2.904,0.416
Bulgaria,2018-01,0.000,4.040,3.222,3.742,3.104,0.442
Bulgaria,2018-02,0.000,3.669,3.000,3.523,2.802,0.259
Bulgaria,2018-03,0.000,3.424,3.056,3.721,2.785,0.139
Bulgaria,2018-04,0.000,2.090,2.472,2.787,2.037,0.214
Bulgaria,2018-05,0.000,2.146,2.750,2.698,2.155,0.144
Bulgaria,2018-06,0.000,1.950,2.972,3.232,2.212,0.082
Bulgaria,2018-07,0.000,1.735,2.417,3.448,2.317,0.160
Bulgaria,2018-08,0.025,1.647,2.262,3.608,2.362,0.139
Bulgaria,2018-09,0.025,1.885,2.448,3.253,2.236,0.119
Bulgaria,2018-10,0.026,2.388,2.437,3.402,2.415,0.146
Bulgaria,2018-11,0.028,3.214,3.128,4.007,2.738,0.154
Bulgaria,2018-12,0.032,4.226,3.443,4.292,3.216,0.225
Bulgaria,2019-01,0.033,4.205,3.283,4.230,3.328,0.268
Bulgaria,2019-02,0.028,3.425,2.630,3.783,2.806,0.190
Bulgaria,2019-03,0.029,3.017,2.599,3.624,2.649,0.275
Bulgaria,2019-04,0.027,2.684,2.862,3.314,2.478,0.274
Bulgaria,2019-05,0.026,2.159,3.036,2.745,2.351,0.352
Bulgaria,2019-06,0.023,1.828,2.832,2.816,2.321,0.372
Bulgaria,2019-07,0.022,1.931,2.799,3.256,2.466,0.197
Bulgaria,2019-08,0.020,1.587,2.253,3.339,2.449,0.151
Bulgaria,2019-09,0.022,1.699,2.407,2.993,2.284,0.148
Bulgaria,2019-10,0.018,1.930,2.138,3.054,2.388,0.170
Bulgaria,2019-11,0.013,2.723,2.436,3.445,2.567,0.268
Bulgaria,2019-12,0.057,3.574,2.493,3.711,2.986,0.379
Bulgaria,2020-01,0.063,3.858,6.606,3.588,3.242,0.532
Bulgaria,2020-02,0.051,3.418,4.854,3.439,2.866,0.459
Bulgaria,2020-03,0.051,3.244,2.766,3.575,2.757,0.377
Bulgaria,2020-04,0.042,2.473,4.535,2.796,2.349,0.304
Bulgaria,2020-05,0.044,1.974,5.480,2.504,2.167,0.293
Bulgaria,2020-06,0.043,1.968,5.173,2.905,2.159,0.183
Bulgaria,2020-07,0.045,1.838,6.266,3.073,2.379,0.197
Bulgaria,2020-08,0.050,1.667,6.099,3.032,2.322,0.223
Bulgaria,2020-09,0.049,1.838,6.201,2.815,2.242,0.241
Bulgaria,2020-10,0.051,2.638,4.791,2.704,2.380,0.331
Bulgaria,2020-11,0.051,3.436,2.850,3.317,2.738,0.229
Bulgaria,2020-12,0.041,4.151,7.186,3.542,2.949,0.338
Bulgaria,2021-01,0.045,4.077,9.973,3.805,3.124,0.257
Bulgaria,2021-02,0.036,3.718,9.373,3.451,2.804,0.196
Bulgaria,2021-03,0.036,4.035,11.530,3.918,3.029,0.213
Bulgaria,2021-04,0.031,3.146,10.700,3.530,2.624,0.121
Bulgaria,2021-05,0.026,2.522,10.877,3.049,2.257,0.162
Bulgaria,2021-06,0.024,2.467,9.208,2.993,2.328,0.262
Bulgaria,2021-07,0.024,2.789,12.758,3.512,2.567,0.128
Bulgaria,2021-08,0.022,2.088,12.205,3.579,2.552,0.093
Bulgaria,2021-09,0.019,2.205,10.070,3.644,2.237,0.052
Bulgaria,2021-10,0.024,2.577,13.956,3.523,2.531,0.110
Bulgaria,2021-11,0.022,3.049,11.148,4.005,2.661,0.107
Bulgaria,2021-12,0.020,3.920,15.214,4.558,3.087,0.154
Czechia,2017-01,0.198,15.783,37.873,8.079,6.359,1.837
Czechia,2017-02,0.184,11.085,30.097,6.951,5.424,1.674
Czechia,2017-03,0.205,8.821,31.497,7.386,5.517,1.144
Czechia,2017-04,0.203,7.456,29.443,7.322,5.011,1.054
Czechia,2017-05,0.202,4.726,27.979,6.305,4.884,1.220
Czechia,2017-06,0.203,3.831,21.974,5.415,4.634,1.624
Czechia,2017-07,0.208,3.793,26.290,5.046,4.440,1.426
Czechia,2017-08,0.211,3.550,29.611,6.066,4.651,0.806
Czechia,2017-09,0.211,5.059,29.699,6.692,4.747,0.601
Czechia,2017-10,0.204,7.100,37.884,7.144,5.244,1.137
Czechia,2017-11,0.201,10.206,36.021,7.629,5.578,1.129
Czechia,2017-12,0.208,11.646,35.006,7.032,5.636,1.421
Czechia,2018-01,0.205,11.598,34.664,6.972,5.922,1.226
Czechia,2018-02,0.179,12.334,35.921,6.616,5.649,1.069
Czechia,2018-03,0.190,11.819,34.416,7.883,6.013,0.867
Czechia,2018-04,0.179,4.972,35.797,6.230,4.822,0.651
Czechia,2018-05,0.188,3.676,38.169,6.593,4.823,0.729
Czechia,2018-06,0.186,3.596,34.036,6.180,4.682,0.900
Czechia,2018-07,0.179,3.586,28.757,6.161,4.587,0.815
Czechia,2018-08,0.187,3.573,40.273,6.280,4.774,0.965
Czechia,2018-09,0.193,4.243,37.331,6.617,4.644,0.749
Czechia,2018-10,0.213,7.019,35.528,7.259,5.248,1.218
Czechia,2018-11,0.208,9.787,35.877,7.520,5.588,1.147
Czechia,2018-12,0.214,11.905,33.339,7.656,5.667,1.236
Czechia,2019-01,0.197,13.790,34.448,8.001,6.230,1.285
Czechia,2019-02,0.170,10.726,30.150,7.237,5.445,0.858
Czechia,2019-03,0.197,9.047,32.358,7.004,5.588,1.039
Czechia,2019-04,0.185,6.517,34.106,6.422,4.988,0.879
Czechia,2019-05,0.187,5.999,37.077,6.686,5.081,0.631
Czechia,2019-06,0.179,4.181,38.188,5.725,4.674,0.781
Czechia,2019-07,0.181,4.239,26.428,5.319,4.584,1.339
Czechia,2019-08,0.186,4.206,35.803,6.056,4.662,0.734
Czechia,2019-09,0.179,5.158,30.476,6.524,4.724,0.842
Czechia,2019-10,0.183,7.669,25.989,7.484,5.224,0.846
Czechia,2019-11,0.182,9.688,28.978,7.322,5.479,0.663
Czechia,2019-12,0.203,11.278,31.379,7.354,5.539,1.128
Czechia,2020-01,0.193,12.961,42.183,7.531,6.047,1.693
Czechia,2020-02,0.164,10.463,38.291,6.714,5.500,1.321
Czechia,2020-03,0.181,9.786,39.707,6.500,5.495,1.219
Czechia,2020-04,0.175,6.195,36.518,5.250,4.386,1.106
Czechia,2020-05,0.176,5.322,35.970,5.657,4.466,1.004
Czechia,2020-06,0.169,4.407,41.720,5.719,4.411,0.714
Czechia,2020-07,0.178,4.535,31.973,5.417,4.443,1.086
Czechia,2020-08,0.171,4.301,48.115,6.139,4.521,0.740
Czechia,2020-09,0.164,4.531,46.159,6.151,4.674,0.772
Czechia,2020-10,0.168,7.985,36.303,6.580,5.202,1.165
Czechia,2020-11,0.178,10.957,33.396,7.210,5.447,1.221
Czechia,2020-12,0.185,12.582,33.949,7.248,5.621,1.328
Czechia,2021-01,0.169,13.652,41.860,7.729,6.085,1.176
Czechia,2021-02,0.161,12.521,30.522,6.782,5.660,0.866
