month,production_natural_gas,consumption_natural_gas,imports_natural_gas,production_electricity,consumption_electricity,imports_electricity,production_natural_gas_dummy,imports_natural_gas_dummy,imports_electricity_dummy
2008-01,11.46416667,18.59388889,5.621111111,6.218,5.73,0.09,1,1,0
2008-02,10.27194444,14.33444444,4.212777778,5.841,5.29,0.065,1,1,0
2008-03,10.45527778,15.02222222,4.621944444,5.752,5.286,0.06,1,1,0
2008-04,9.883055556,13.255,4.145833333,5.168,4.812,0.045,1,1,0
2008-05,9.597222222,13.29638889,5.528611111,5.009,4.728,0.058,1,1,0
2008-06,9.22,11.69722222,4.218888889,4.891,4.645,0.078,0,1,0
2008-07,9.466388889,12.6575,5.141666667,5.278,4.918,0.092,1,1,0
2008-08,9.399444444,12.60694444,4.950277778,5.158,4.862,0.093,1,1,0
2008-09,9.6425,12.21027778,4.322222222,4.973,4.77,0.085,1,1,0
2008-10,10.08194444,10.44388889,2.060277778,5.359,5.055,0.063,1,1,0
2008-11,10.04166667,10.57361111,0.031388889,5.429,5.114,0.069,1,0,0
2008-12,10.42416667,10.83722222,1.640277778,5.56,5.195,0.124,1,0,0
2009-01,10.75055556,12.9475,0.771111111,5.63,5.287,0.144,1,0,0
2009-02,10.04305556,11.82972222,1.267222222,5.105,4.763,0.087,1,0,0
2009-03,10.50083333,11.43583333,0.438888889,5.268,4.92,0.088,1,0,0
2009-04,9.476666667,8.739166667,1.426111111,4.383,4.148,0.027,1,0,0
2009-05,8.853333333,7.27,1.326666667,4.365,4.206,0.034,0,0,0
2009-06,8.497777778,6.910555556,1.384444444,4.229,4.114,0.038,0,0,0
2009-07,8.637222222,10.38166667,2.6825,4.572,4.421,0.021,0,1,0
2009-08,9.666944444,12.4175,4.098611111,4.475,4.324,0.017,1,1,0
2009-09,9.329166667,11.58277778,2.866666667,4.331,4.218,0.047,1,1,0
2009-10,9.381111111,10.96083333,0.919722222,4.772,4.669,0.058,1,0,0
2009-11,9.603611111,12.95722222,1.446388889,4.992,4.87,0.052,1,0,0
2009-12,10.07805556,17.28861111,2.899722222,5.349,5.23,0.032,1,1,0
2010-01,10.45416667,15.91888889,2.148333333,5.402,5.354,0.087,1,1,0
2010-02,9.290277778,14.56972222,2.631111111,4.996,5.01,0.096,1,1,0
2010-03,10.19944444,14.99833333,2.884444444,5.085,5.101,0.089,1,1,0
